country,region,targtype1,targsubtype1,weaptype(hot = 1),weaptype1,nkill,nwound
4,6,14,67,0,12,0,1
4,6,14,68,0,12,1,0
4,6,16,90,0,11,0,0
4,6,21,107,0,11,0,0
4,6,21,107,0,11,0,0
4,6,21,107,0,11,0,0
4,6,21,107,0,11,0,0
4,6,2,19,0,10,0,0
4,6,4,27,0,10,0,2
4,6,4,37,0,10,3,0
4,6,14,67,0,10,3,0
4,6,19,99,1,6,50,0
5,9,2,18,0,9,0,0
6,10,2,18,0,9,0,1
6,10,3,25,0,9,0,1
6,10,3,25,0,9,2,0
6,10,4,27,0,9,8,2
6,10,4,34,0,9,0,1
6,10,3,25,0,9,0,1
6,10,3,25,0,9,0,1
6,10,3,25,0,9,1,0
6,10,3,25,0,9,1,0
6,10,2,15,0,9,1,0
6,10,1,,0,9,2,0
6,10,3,25,0,9,3,3
6,10,14,68,0,9,1,0
6,10,3,25,0,9,5,0
6,10,20,,0,9,3,0
6,10,2,15,0,9,1,0
6,10,10,56,0,9,1,0
6,10,7,45,0,9,1,0
6,10,1,,0,9,1,0
6,10,6,42,0,9,0,0
6,10,4,28,0,9,1,0
6,10,8,,0,9,1,0
6,10,10,53,0,9,1,0
6,10,14,67,0,9,2,0
6,10,10,53,0,9,1,0
6,10,14,67,0,9,9,0
6,10,14,67,0,9,15,0
